product_id,product_name,category,price
OFF-AR-10003183,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,5.34
OFF-AR-10001446,Newell 309,Office Supplies,27.72
OFF-BI-10000145,Zipper Ring Binder Pockets,Office Supplies,2.5
OFF-LA-10000476,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Office Supplies,8.26
OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,13.32
OFF-ST-10001128,"Carina Mini System Audio Rack, Model AR050B",Office Supplies,332.94
FUR-TA-10002533,BPI Conference Tables,Furniture,292.1
TEC-PH-10004006,Panasonic KX - TS880B Telephone,Technology,206.1
OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,17.64
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,1403.92
OFF-AR-10000657,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,4.3
TEC-AC-10000736,Logitech G600 MMO Gaming Mouse,Technology,239.97
OFF-AP-10001293,Belkin 8 Outlet Surge Protector,Office Supplies,81.96
OFF-SU-10000157,Compact Automatic Electric Letter Opener,Office Supplies,238.62
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,139.8
OFF-BI-10001757,Pressboard Hanging Data Binders for Unburst Sheets,Office Supplies,9.84
OFF-PA-10002137,"Southworth 100% Résumé Paper, 24lb.",Office Supplies,7.78
OFF-BI-10000088,GBC Imprintable Covers,Office Supplies,54.9
OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Office Supplies,50.04
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,339.92
OFF-PA-10001609,Tops Wirebound Message Log Books,Office Supplies,10.53
OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,Office Supplies,42.38
OFF-PA-10000167,Xerox 1925,Office Supplies,123.92
TEC-PH-10004434,Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,135.95
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,2177.58
FUR-FU-10004666,DAX Clear Channel Poster Frame,Furniture,17.5
OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,16.78
TEC-AC-10002076,Microsoft Natural Keyboard Elite,Technology,431.14
OFF-AP-10003281,Acco 6 Outlet Guardian Standard Surge Suppressor,Office Supplies,4.84
TEC-PH-10001944,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,Technology,437.85
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,673.57
OFF-PA-10002120,Xerox 1889,Office Supplies,274.8
OFF-ST-10004340,"Fellowes Mobile File Cart, Black",Office Supplies,62.18
FUR-FU-10001847,Eldon Image Series Black Desk Accessories,Furniture,8.28
OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Office Supplies,48.81
FUR-CH-10004754,"Global Stack Chair with Arms, Black",Furniture,149.9
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,1023.33
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,600.56
TEC-AC-10004901,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,Technology,39.99
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Furniture,211.25
OFF-EN-10003134,Staple envelope,Office Supplies,56.06
FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,107.77
OFF-PA-10001560,"Adams Telephone Message Books, 5 1/4” x 11”",Office Supplies,4.83
OFF-BI-10000977,Ibico Plastic Spiral Binding Combs,Office Supplies,18.24
OFF-BI-10003429,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Office Supplies,3.8
OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,10.37
TEC-PH-10004977,GE 30524EE4,Technology,235.19
TEC-PH-10000912,Anker 24W Portable Micro USB Car Charger,Technology,26.38
TEC-AC-10000487,SanDisk Cruzer 4 GB USB Flash Drive,Technology,10.38
